DDH_name,From_m,To_m,JoinID,Sample_length_m,Al_pct,Si_pct,S_pct,K_pct,Ca_pct,Ti_ppm,Mn_ppm,Fe_pct,Cu_ppm,Rb_ppm,Sr_ppm,Major_Unit_Interp
DDH-1,1140,1140.099976,SCC-00111401140.1,0.100000001,5.286200047,23.95339966,0.443300009,4.962800026,0.363299996,961,198,1.183699965,3202,192,69,Oracle Granite
DDH-1,1140.099976,1140.199951,SCC-0011140.11140.2,0.100000001,6.793600082,30.32939911,0.958500028,6.03730011,0.859300017,654,540,1.527899981,1738,228,75,Oracle Granite
DDH-1,1140.199951,1140.300049,SCC-0011140.21140.3,0.100000001,5.485499859,26.72330093,0.819700003,4.895299911,0.509199977,993,267,1.322900057,2231,153,59,Oracle Granite
DDH-1,1141.099976,1141.199951,SCC-0011141.11141.2,0.100000001,6.837299824,31.4715004,1.358299971,5.177400112,0.440400004,1127,166,2.328200102,3596,238,76,Oracle Granite
DDH-1,1141.199951,1141.300049,SCC-0011141.21141.3,0.100000001,6.786699772,40.19490051,1.035699964,6.966100216,0.510900021,919,186,0.935000002,871,235,69,Oracle Granite
DDH-1,1141.300049,1141.400024,SCC-0011141.31141.4,0.100000001,7.557700157,41.01369858,1.101699948,6.270800114,0.429199994,1074,236,1.907299995,1694,237,61,Oracle Granite
DDH-1,1141.400024,1141.5,SCC-0011141.41141.5,0.100000001,7.306300163,41.69129944,0.803600013,6.866600037,0.438800007,920,291,1.37590003,1113,245,61,Oracle Granite
DDH-1,1141.5,1141.599976,SCC-0011141.51141.6,0.100000001,7.586999893,32.96620178,0.897700012,7.345300198,0.514400005,1651,208,1.039600015,1018,308,97,Oracle Granite
DDH-1,1141.599976,1141.699951,SCC-0011141.61141.7,0.100000001,6.614200115,28.81520081,0.836300015,5.47480011,0.301699996,990,128,1.913300037,2165,271,51,Oracle Granite
DDH-1,1142,1142.099976,SCC-00111421142.1,0.100000001,6.072199821,32.7112999,1.247099996,6.479199886,0.622699976,1091,180,1.013000011,965,203,70,Oracle Granite
DDH-1,1142.099976,1142.199951,SCC-0011142.11142.2,0.100000001,6.287099838,33.46500015,0.885900021,7.082499981,0.538999975,1009,214,1.045600057,2080,249,78,Oracle Granite
DDH-1,1142.199951,1142.300049,SCC-0011142.21142.3,0.100000001,6.457399845,37.4396019,0.535600007,6.29820013,0.316900015,1259,236,0.84740001,2458,234,64,Oracle Granite
DDH-1,1142.300049,1142.400024,SCC-0011142.31142.4,0.100000001,5.786600113,30.44120026,0.565900028,6.46089983,0.354499996,935,152,0.933399975,1609,268,80,Oracle Granite
DDH-1,1142.400024,1142.5,SCC-0011142.41142.5,0.100000001,6.575399876,35.10919952,0.513300002,6.935200214,0.387199998,905,280,1.531200051,1324,237,66,Oracle Granite
DDH-1,1142.5,1142.599976,SCC-0011142.51142.6,0.100000001,6.998700142,35.6507988,0.556500018,7.165999889,0.364800006,855,116,0.971099973,2144,182,64,Oracle Granite
DDH-1,1142.599976,1142.699951,SCC-0011142.61142.7,0.100000001,5.323200226,29.23019981,0.347600013,5.825399876,0.287699997,788,192,1.1875,1128,228,86,Oracle Granite
DDH-1,1142.699951,1142.800049,SCC-0011142.71142.8,0.100000001,6.490499973,36.33470154,0.617399991,6.195700169,0.242500007,1084,124,1.288200021,749,206,72,Oracle Granite
